id,x,y,z,colorb_v,lum,absmag,appmag,texnum,distly,dcalc,plx,plxerr,vx,vy,vz,speed,hipnum,name
22470,-334.6447,-49.9779,-52.8954,-0.056,574.42627,-2.17,5.5,1,1116.44,1,2.92,53.77,-22.106,-11.947,-17.5,30.621,25950,HIP25950 HD36408 Gli  
82582,51.9572,96.1312,1.8606,0.82,58.50026,0.31,5.5,1,356.28,1,9.15,7.21,-18.191,-8.353,-0.448,20.022,97077,HIP97077 HD186486 Gli 10Vul 
67528,124.042,-36.4382,30.3686,-0.03,86.37937,-0.12,5.5,1,432.93,1,7.53,10.36,-2.668,-21.514,2.571,21.831,79199,HIP79199 HD144987 Gli  
29192,-1.0974,-137.3357,-54.37,-0.005,106.86185,-0.35,5.5,1,481.54,1,6.77,7.98,-4.065,2.682,-5.642,7.453,34000,HIP34000 HD53921 Gli  
64903,59.2091,-13.5695,33.7548,0.071,23.65257,1.29,5.5,1,226.55,1,14.39,5.7,-20.415,-5.422,-12.184,24.385,76106,HIP76106 HD138413 Gli  
30418,-3.7251,-33.0536,-10.1692,0.317,5.92549,2.79,5.5,1,113.39,1,28.75,3.03,-8.961,7.037,-0.668,11.414,35564,HIP35564 HD57852 Gli  
1428,38.2316,-50.9719,-68.9696,-0.005,43.1818,0.64,5.5,1,306.1,1,10.65,4.79,6.541,-5.741,-8.672,12.286,1647,HIP1647 HD1685 Gli Pi Tuc 
4213,-63.6351,88.3853,-65.4529,0.008,79.07706,-0.02,5.5,1,414.23,1,7.87,8.64,-13.555,1.033,-23.742,27.358,4889,HIP4889 HD6118 Gli Sig Psc 
69221,210.6507,-182.1153,-77.4036,0.946,409.11722,-1.8,5.5,1,942.2,1,3.46,17.63,3.085,-25.363,10.846,27.757,81141,HIP81141 HD148488 Gli  
75852,106.2473,64.4595,23.2179,0.991,78.27933,-0.01,5.5,1,412.14,1,7.91,9.36,10.219,9.857,-8.996,16.808,89065,HIP89065 HD166460 Gli  
13726,-60.0082,19.7501,-31.3413,1.086,24.35833,1.26,5.5,1,229.9,1,14.18,6.91,-19.754,-7.541,-17.488,27.439,15861,HIP15861 HD21017 Gli 64Ari 
4180,0.5455,-6.07,-69.2249,0.046,23.65257,1.29,5.5,1,226.55,1,14.39,5.07,-24.073,-12.051,14.71,30.678,4852,HIP4852 HD6178 Gli Sig Scl 
5807,-48.1795,49.3488,-63.9784,0.946,43.34445,0.63,5.5,1,306.68,1,10.63,7.24,2.843,-41.326,5.886,41.84,6732,HIP6732 HD8763 Gli 94Psc 
44302,26.7033,-244.8495,71.2871,-0.63,322.01105,-1.54,5.5,1,835.9,1,3.9,17.18,-30.321,-45.634,-7.871,55.351,51821,HIP51821 HD91793 Gli  
56737,-40.1094,76.3323,87.503,0.991,73.91817,0.05,5.5,1,400.49,1,8.14,6.51,-19.958,-5.067,17.486,27.014,66435,HIP66435 HD118904 Gli  
